year,period,TE-TOZagreb,EL-TOZagreb,TE-TOOsijek,general_demand,Industry_HT
2045,6071,12.72457747,9.658121077,2.867608269,315.5737722,1135.558513
2045,6072,5.732005926,4.350667625,1.291763725,142.1332691,1188.457437
2045,6073,4.079000068,3.096014513,0.919242651,101.1742823,1100.726235
2045,6074,2.782758064,2.112149843,0.627121808,69.05683599,1340.916239
2045,6075,2.461670595,1.868440246,0.5547616,61.02550788,1336.750886
2045,6076,1.617329473,1.227574268,0.364481051,40.14877445,1093.984263
2045,6077,3.076097233,2.334798117,0.693228666,76.28581792,1209.096913
2045,6078,4.209813481,3.195303609,0.948722736,104.3915333,1160.159411
2045,6079,14.24676992,10.81348509,3.210649258,353.3155081,1076.903097
2045,6080,29.84924248,22.65596626,6.726819396,740.3610211,1361.603113
2045,6081,26.22214329,19.90295044,5.909417039,650.4274516,1285.677547
2045,6082,19.74886136,14.98964461,4.4505995,489.8244877,1327.015826
2045,6083,19.42380985,14.74292625,4.377345955,481.7931596,1325.127635
2045,6084,16.34771261,12.40812814,3.68411729,405.5152078,1338.231543
2045,6085,13.59666689,10.32004838,3.064142169,337.260718,1336.902813
2045,6086,12.6254764,9.582902065,2.845274871,313.1667336,1314.567276
2045,6087,9.874430679,7.494822306,2.22529975,244.9122438,1298.290167
2045,6088,7.123384958,5.406742547,1.605324629,176.657754,1287.76524
2045,6089,12.72457747,9.658121077,2.867608269,315.5737722,1292.518611
2045,6090,17.31890311,13.14527445,3.902984587,429.601326,1298.456845
2045,6091,25.90105582,19.65924085,5.837056831,642.3961235,1059.117395
2045,6092,25.2509528,19.16580413,5.690549742,626.3334673,1305.710718
2045,6093,19.26128409,14.61956708,4.340719183,477.7814286,1073.946865
2045,6094,17.54881759,13.31978256,3.95479807,435.2256155,1264.89765
2045,6095,12.72457747,9.658121077,2.867608269,315.5737722,1320.235039
2045,6096,5.732005926,4.350667625,1.291763725,142.1332691,1320.357177
2045,6097,4.079000068,3.096014513,0.919242651,101.1742823,1015.709641
2045,6098,2.782758064,2.112149843,0.627121808,69.05683599,1258.491603
2045,6099,2.461670595,1.868440246,0.5547616,61.02550788,1251.343249
2045,6100,1.617329473,1.227574268,0.364481051,40.14877445,1003.534078
2045,6101,3.076097233,2.334798117,0.693228666,76.28581792,1153.160996
2045,6102,4.209813481,3.195303609,0.948722736,104.3915333,1112.63263
2045,6103,14.24676992,10.81348509,3.210649258,353.3155081,1014.410828
2045,6104,29.84924248,22.65596626,6.726819396,740.3610211,1282.830728
2045,6105,26.22214329,19.90295044,5.909417039,650.4274516,1276.434574
2045,6106,19.74886136,14.98964461,4.4505995,489.8244877,1249.106772
2045,6107,19.42380985,14.74292625,4.377345955,481.7931596,1245.324789
2045,6108,16.34771261,12.40812814,3.68411729,405.5152078,1261.219261
2045,6109,13.59666689,10.32004838,3.064142169,337.260718,1264.544893
2045,6110,12.6254764,9.582902065,2.845274871,313.1667336,1191.36467
2045,6111,9.874430679,7.494822306,2.22529975,244.9122438,1230.690737
2045,6112,7.123384958,5.406742547,1.605324629,176.657754,1214.266441
2045,6113,12.72457747,9.658121077,2.867608269,315.5737722,1216.39705
2045,6114,17.31890311,13.14527445,3.902984587,429.601326,1205.136351
2045,6115,25.90105582,19.65924085,5.837056831,642.3961235,946.8732305
2045,6116,25.2509528,19.16580413,5.690549742,626.3334673,1183.168661
2045,6117,19.26128409,14.61956708,4.340719183,477.7814286,951.865408
2045,6118,17.54881759,13.31978256,3.95479807,435.2256155,1202.718014
2045,6119,12.72457747,9.658121077,2.867608269,315.5737722,1194.623864
2045,6120,5.732005926,4.350667625,1.291763725,142.1332691,1228.149497
2045,6121,4.079000068,3.096014513,0.919242651,101.1742823,914.1615424
2045,6122,2.782758064,2.112149843,0.627121808,69.05683599,1091.465943
2045,6123,2.461670595,1.868440246,0.5547616,61.02550788,1148.689188
2045,6124,1.617329473,1.227574268,0.364481051,40.14877445,906.9628764
2045,6125,3.076097233,2.334798117,0.693228666,76.28581792,1061.872973
2045,6126,4.209813481,3.195303609,0.948722736,104.3915333,1037.56732
2045,6127,14.24676992,10.81348509,3.210649258,353.3155081,974.7176147
2045,6128,29.84924248,22.65596626,6.726819396,740.3610211,1180.811787
2045,6129,26.22214329,19.90295044,5.909417039,650.4274516,1165.708226
2045,6130,19.74886136,14.98964461,4.4505995,489.8244877,1162.112107
2045,6131,19.42380985,14.74292625,4.377345955,481.7931596,1137.204052
2045,6132,16.34771261,12.40812814,3.68411729,405.5152078,1103.020391
2045,6133,13.59666689,10.32004838,3.064142169,337.260718,1149.45868
2045,6134,12.6254764,9.582902065,2.845274871,313.1667336,1140.926806
2045,6135,9.874430679,7.494822306,2.22529975,244.9122438,1101.067591
2045,6136,7.123384958,5.406742547,1.605324629,176.657754,1102.973041
2045,6137,12.72457747,9.658121077,2.867608269,315.5737722,1106.878425
2045,6138,17.31890311,13.14527445,3.902984587,429.601326,1087.719645
2045,6139,25.90105582,19.65924085,5.837056831,642.3961235,829.9039102
2045,6140,25.2509528,19.16580413,5.690549742,626.3334673,1071.808518
2045,6141,19.26128409,14.61956708,4.340719183,477.7814286,811.6194618
2045,6142,17.54881759,13.31978256,3.95479807,435.2256155,1079.592654
2045,6143,12.72457747,9.658121077,2.867608269,315.5737722,1074.052788
2045,6144,5.732005926,4.350667625,1.291763725,142.1332691,1109.025466
2045,6145,4.079000068,3.096014513,0.919242651,101.1742823,1052.87422
2045,6146,2.782758064,2.112149843,0.627121808,69.05683599,1298.87111
2045,6147,2.461670595,1.868440246,0.5547616,61.02550788,1288.272357
2045,6148,1.617329473,1.227574268,0.364481051,40.14877445,1036.239691
2045,6149,3.076097233,2.334798117,0.693228666,76.28581792,1174.330882
2045,6150,4.209813481,3.195303609,0.948722736,104.3915333,1127.374211
2045,6151,14.24676992,10.81348509,3.210649258,353.3155081,978.007785
2045,6152,29.84924248,22.65596626,6.726819396,740.3610211,1308.796123
2045,6153,26.22214329,19.90295044,5.909417039,650.4274516,1266.133557
2045,6154,19.74886136,14.98964461,4.4505995,489.8244877,1240.066447
2045,6155,19.42380985,14.74292625,4.377345955,481.7931596,1222.60763
2045,6156,16.34771261,12.40812814,3.68411729,405.5152078,1218.005582
2045,6157,13.59666689,10.32004838,3.064142169,337.260718,1191.603323
2045,6158,12.6254764,9.582902065,2.845274871,313.1667336,1195.877019
2045,6159,9.874430679,7.494822306,2.22529975,244.9122438,1194.116629
2045,6160,7.123384958,5.406742547,1.605324629,176.657754,1188.87284
2045,6161,12.72457747,9.658121077,2.867608269,315.5737722,1196.999678
